"limitation_id","limitation","authority"
"L01","FinnGen delirium is a broad registry phenotype and not ICU/postoperative delirium specifically.","FinnGen phenotype metadata and protocol interpretation boundary"
"L02","Chen and Vuckovic Hb GWAS are not independent replication sources; sample overlap concern is retained.","Chen/Vuckovic source certifications and MR protocol hierarchy"
"L03","Reverse strict analyses are single-instrument Wald estimates.","Decision 75 and Decision 119"
"L04","Relaxed reverse branch uses a P<5e-6 exploratory fallback and is not confirmatory.","Decision 77 and Decision 119"
"L05","Relaxed APOE-excluded Vuckovic nominal signal is not robust across Hb outcome GWAS.","Decision 119 comparison table"
"L06","Chen forward MR-PRESSO is technically unavailable under the frozen configuration.","Decision 103"
"L07","Vuckovic Steiger analyses are not estimable because variant-level Hb sample size is unavailable.","Decision 124"
"L08","Steiger analysis for binary delirium requires prespecified population prevalence assumptions.","Decision 122 and Decision 124"
"L09","Steiger can be sensitive to measurement error and winner's curse.","Decision 122 and Decision 124"
"L10","Hb scale is a standardized quantitative effect scale, not a physical Hb unit.","MR result table effect_scale fields"
