"module","planned","completion_status","closure_authority","notes"
"forward_primary_MR",TRUE,"completed","Decision 37 Vuckovic forward MR V3 freeze","APOE included/excluded retained"
"forward_alternative_Hb_GWAS_sensitivity",TRUE,"completed","Decision 103 Chen forward MR V1 freeze","Sensitivity only; not independent replication"
"reverse_strict_primary",TRUE,"completed","Decision 75 reverse strict primary MR freeze","Single-instrument Wald estimates"
"reverse_relaxed_exploratory",TRUE,"completed","Decision 77 reverse relaxed MR freeze","Exploratory P<5e-6 fallback; does not override strict primary"
"reverse_alternative_outcome_sensitivity",TRUE,"completed","Decision 119 Chen reverse MR V1 freeze","Strict and relaxed Chen Hb outcome sensitivity"
"heterogeneity",TRUE,"completed_or_scientifically_not_applicable","Decisions 37, 75, 77, 103, 119","Single-instrument branches are not applicable"
"egger_intercept",TRUE,"completed_or_scientifically_not_applicable","Decisions 37, 75, 77, 103, 119","Single-instrument branches are not applicable"
"MR_PRESSO",TRUE,"completed_or_technically_unavailable_or_scientifically_not_applicable","Decisions 37, 75, 77, 103, 119","Chen forward MR-PRESSO is technically unavailable under frozen configuration"
"leave_one_out",TRUE,"completed_or_scientifically_not_applicable","Decisions 37, 75, 77, 103, 119","Single-instrument branches are not applicable"
"single_SNP",TRUE,"completed_or_scientifically_not_applicable_or_not_run_by_method_alignment","Decisions 75, 77, 103, 119","Forward Chen single-SNP was not run under method-alignment closure"
"APOE_sensitivity",TRUE,"completed","All MR result freezes","Included/excluded branches retained"
"Steiger_directionality",TRUE,"completed_or_not_estimable","Decision 124 Unified Steiger Results Freeze","Chen-based completed; Vuckovic not estimable due to missing variant-level Hb N"
